regions	index
LH-DefaultB-PFCv_2	184
LH-DefaultB-PFCv_3	185
LH-DefaultB-PFCv_4	186
LH-DefaultB-PFCv_5	187
LH-DefaultC-IPL_1	188
LH-DefaultC-Rsp_1	189
LH-DefaultC-Rsp_2	190
LH-DefaultC-Rsp_3	191
LH-DefaultC-PHC_1	192
LH-DefaultC-PHC_2	193
LH-DefaultC-PHC_3	194
LH-TempPar-1	195
LH-TempPar-2	196
LH-TempPar-3	197
LH-TempPar-4	198
LH-TempPar-5	199
LH-TempPar-6	200
RH-VisCent-ExStr_1	201
RH-VisCent-ExStr_2	202
RH-VisCent-ExStr_3	203
RH-VisCent-ExStr_4	204
RH-VisCent-ExStr_5	205
RH-VisCent-ExStr_6	206
RH-VisCent-ExStr_7	207
RH-VisCent-ExStr_8	208
RH-VisCent-ExStr_9	209
RH-VisCent-ExStr_10	210
RH-VisCent-ExStr_11	211
RH-VisCent-ExStr_12	212
RH-VisPeri-ExStrSup_1	213
RH-VisPeri-ExStrSup_2	214
RH-VisPeri-ExStrSup_3	215
RH-VisPeri-ExStrSup_4	216
RH-VisPeri-ExStrSup_5	217
RH-VisPeri-ExStrSup_6	218
RH-VisPeri-ExStrSup_7	219
RH-VisPeri-ExStrSup_8	220
RH-VisPeri-ExStrSup_9	221
RH-VisPeri-ExStrSup_10	222
RH-VisPeri-ExStrSup_11	223
RH-SomMotA-1	224
RH-SomMotA-2	225
RH-SomMotA-3	226
RH-SomMotA-4	227
RH-SomMotA-5	228
RH-SomMotA-6	229
RH-SomMotA-7	230
RH-SomMotA-8	231
RH-SomMotA-9	232
RH-SomMotA-10	233
RH-SomMotA-11	234
RH-SomMotA-12	235
RH-SomMotA-13	236
RH-SomMotA-14	237
RH-SomMotA-15	238
RH-SomMotA-16	239
RH-SomMotA-17	240
RH-SomMotA-18	241
RH-SomMotA-19	242
RH-SomMotA-20	243
RH-SomMotB-S2_1	244
RH-SomMotB-S2_2	245
RH-SomMotB-S2_3	246
RH-SomMotB-S2_4	247
RH-SomMotB-S2_5	248
RH-SomMotB-S2_6	249
RH-SomMotB-S2_7	250
RH-SomMotB-S2_8	251
RH-SomMotB-S2_9	252
RH-SomMotB-S2_10	253
RH-SomMotB-S2_11	254
RH-SomMotB-S2_12	255
RH-SomMotB-S2_13	256
RH-SomMotB-S2_14	257
RH-SomMotB-S2_15	258
RH-DorsAttnA-TempOcc_1	259
RH-DorsAttnA-TempOcc_2	260
RH-DorsAttnA-TempOcc_3	261
RH-DorsAttnA-TempOcc_4	262
RH-DorsAttnA-TempOcc_5	263
RH-DorsAttnA-SPL_1	264
RH-DorsAttnA-SPL_2	265
RH-DorsAttnA-SPL_3	266
RH-DorsAttnA-SPL_4	267
RH-DorsAttnA-SPL_5	268
RH-DorsAttnA-SPL_6	269
RH-DorsAttnA-SPL_7	270
RH-DorsAttnA-SPL_8	271
RH-DorsAttnA-SPL_9	272
RH-DorsAttnB-TempOcc_1	273
RH-DorsAttnB-PostC_1	274
RH-DorsAttnB-PostC_2	275
RH-DorsAttnB-PostC_3	276
RH-DorsAttnB-PostC_4	277
RH-DorsAttnB-PostC_5	278
RH-DorsAttnB-PostC_6	279
RH-DorsAttnB-PostC_7	280
RH-DorsAttnB-PostC_8	281
RH-DorsAttnB-FEF_1	282
RH-DorsAttnB-FEF_2	283
RH-DorsAttnB-FEF_3	284
RH-SalVentAttnA-ParOper_1	285
RH-SalVentAttnA-ParOper_2	286
RH-SalVentAttnA-ParOper_3	287
RH-SalVentAttnA-PrC_1	288
RH-SalVentAttnA-Ins_1	289
RH-SalVentAttnA-Ins_2	290
RH-SalVentAttnA-Ins_3	291
RH-SalVentAttnA-Ins_4	292
RH-SalVentAttnA-Ins_5	293
RH-SalVentAttnA-Ins_6	294
RH-SalVentAttnA-Ins_7	295
RH-SalVentAttnA-ParMed_1	296
RH-SalVentAttnA-ParMed_2	297
RH-SalVentAttnA-ParMed_3	298
RH-SalVentAttnA-ParMed_4	299
RH-SalVentAttnA-ParMed_5	300
RH-SalVentAttnA-ParMed_6	301
RH-SalVentAttnA-ParMed_7	302
RH-SalVentAttnA-ParMed_8	303
RH-SalVentAttnB-IPL_1	304
RH-SalVentAttnB-PFCl_1	305
RH-SalVentAttnB-PFCl_2	306
RH-SalVentAttnB-PFCl_3	307
RH-SalVentAttnB-PFCl_4	308
RH-SalVentAttnB-PFCv_1	309
RH-SalVentAttnB-PFCv_2	310
RH-SalVentAttnB-PFCmp_1	311
RH-SalVentAttnB-PFCmp_2	312
RH-Limbic-OFC_1	313
RH-Limbic-OFC_2	314
RH-Limbic-OFC_3	315
RH-Limbic-OFC_4	316
RH-Limbic-OFC_5	317
RH-Limbic-OFC_6	318
RH-Limbic-TempPole_1	319
RH-Limbic-TempPole_2	320
RH-Limbic-TempPole_3	321
RH-Limbic-TempPole_4	322
RH-Limbic-TempPole_5	323
RH-Limbic-TempPole_6	324
RH-ContA-IPS_1	325
RH-ContA-IPS_2	326
RH-ContA-IPS_3	327
RH-ContA-IPS_4	328
RH-ContA-PFCd_1	329
RH-ContA-PFCl_1	330
RH-ContA-PFCl_2	331
RH-ContA-PFCl_3	332
RH-ContA-PFCl_4	333
RH-ContA-PFCl_5	334
RH-ContA-Cinga_1	335
RH-ContB-Temp_1	336
RH-ContB-Temp_2	337
RH-ContB-IPL_1	338
RH-ContB-IPL_2	339
RH-ContB-IPL_3	340
RH-ContB-IPL_4	341
RH-ContB-PFCld_1	342
RH-ContB-PFCld_2	343
RH-ContB-PFCld_3	344
RH-ContB-PFCld_4	345
RH-ContB-PFClv_1	346
RH-ContB-PFClv_2	347
RH-ContB-PFClv_3	348
RH-ContB-PFClv_4	349
RH-ContB-PFCmp_1	350
RH-ContC-pCun_1	351
RH-ContC-pCun_2	352
RH-ContC-pCun_3	353
RH-ContC-pCun_4	354
RH-ContC-pCun_5	355
RH-ContC-Cingp_1	356
RH-ContC-Cingp_2	357
RH-DefaultA-Temp_1	358
RH-DefaultA-IPL_1	359
RH-DefaultA-IPL_2	360
RH-DefaultA-PFCd_1	361
RH-DefaultA-PFCd_2	362
RH-DefaultA-PCC_1	363
RH-DefaultA-PCC_2	364
RH-DefaultA-PCC_3	365
RH-DefaultA-PCC_4	366
RH-DefaultA-PCC_5	367
RH-DefaultA-PFCm_1	368
RH-DefaultA-PFCm_2	369
RH-DefaultA-PFCm_3	370
RH-DefaultA-PFCm_4	371
RH-DefaultA-PFCm_5	372
RH-DefaultA-PFCm_6	373
RH-DefaultB-Temp_1	374
RH-DefaultB-Temp_2	375
RH-DefaultB-AntTemp_1	376
RH-DefaultB-PFCd_1	377
RH-DefaultB-PFCd_2	378
RH-DefaultB-PFCd_3	379
RH-DefaultB-PFCd_4	380
RH-DefaultB-PFCd_5	381
RH-DefaultB-PFCv_1	382
RH-DefaultB-PFCv_2	383
RH-DefaultB-PFCv_3	384
RH-DefaultC-IPL_1	385
RH-DefaultC-IPL_2	386
RH-DefaultC-Rsp_1	387
RH-DefaultC-Rsp_2	388
RH-DefaultC-PHC_1	389
RH-DefaultC-PHC_2	390
RH-TempPar-1	391
RH-TempPar-2	392
RH-TempPar-3	393
RH-TempPar-4	394
RH-TempPar-5	395
RH-TempPar-6	396
RH-TempPar-7	397
RH-TempPar-8	398
RH-TempPar-9	399
RH-TempPar-10	400
