regions	index
1	1
1a	2
1b	3
1c	4
2	5
2a	6
2b	7
2c	8
3	9
3a	10
3b	11
4	12
4a	13
4b	14
4c	15
5	16
6	17
7	18
7a	19
7b	20
8	21
